Level,Date and Time,Source,Event ID,Task Category
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The User Profile Service service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Windows Event Log service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Remote Procedure Call (RPC) service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The RPC Endpoint Mapper service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The DCOM Server Process Launcher service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the running state.
Information,12/10/2019 1:55:51 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (6.1, ‎2009‎-‎07‎-‎13T23:26:13.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Power service entered the running state.
Information,12/10/2019 1:55:51 PM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'true' 
PlugPlay caching subsystem enabled: 'true' 
"
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Plug and Play service entered the running state.
Information,12/10/2019 1:55:49 PM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 1 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/10/2019 1:55:49 PM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 0 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Critical,12/10/2019 1:55:48 PM,Microsoft-Windows-Kernel-Power,41,(63),"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
Information,12/10/2019 1:55:51 PM,EventLog,6013,None,The system uptime is 5 seconds.
Information,12/10/2019 1:55:51 PM,EventLog,6005,None,The Event log service was started.
Information,12/10/2019 1:55:51 PM,EventLog,6009,None,Microsoft (R) Windows (R) 6.01. 7601 Service Pack 1 Multiprocessor Free.
Error,12/10/2019 1:55:51 PM,EventLog,6008,None,The previous system shutdown at 1:55:07 PM on ‎12/‎10/‎2019 was unexpected.
Information,12/10/2019 1:55:46 PM,Microsoft-Windows-Kernel-General,12,None,The operating system started at system time ‎2019‎-‎12‎-‎10T13:55:46.468750000Z.
Error,12/10/2019 1:48:08 PM,Schannel,36888,None,The following fatal alert was generated: 10. The internal error state is 1203.
Error,12/10/2019 1:46:56 PM,Schannel,36888,None,The following fatal alert was generated: 10. The internal error state is 1203.
Error,12/10/2019 1:46:33 PM,Schannel,36888,None,The following fatal alert was generated: 10. The internal error state is 1203.
Error,12/10/2019 1:46:33 PM,Schannel,36888,None,The following fatal alert was generated: 10. The internal error state is 1203.
Error,12/10/2019 1:46:26 PM,TermDD,56,None,The Terminal Server security layer detected an error in the protocol stream and has disconnected the client. Client IP: 172.24.0.107.
Error,12/10/2019 1:46:26 PM,Schannel,36888,None,The following fatal alert was generated: 10. The internal error state is 1203.
Error,12/10/2019 1:46:12 PM,TermDD,56,None,The Terminal Server security layer detected an error in the protocol stream and has disconnected the client. Client IP: 172.24.0.107.
Information,12/10/2019 1:45:51 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 1:28:55 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 1:18:56 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 12:45:05 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 12:35:05 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 12:28:55 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 12:18:57 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 12:00:00 PM,EventLog,6013,None,The system uptime is 12783 seconds.
Information,12/10/2019 11:59:34 AM,EventLog,6013,None,The system uptime is 12757 seconds.
Information,12/10/2019 11:28:56 AM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 11:20:59 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/10/2019 11:18:57 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 11:04:31 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/10/2019 11:04:31 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,12/10/2019 10:45:05 AM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 10:35:06 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 10:28:56 AM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 10:18:58 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 10:07:07 AM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,12/10/2019 10:05:32 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/10/2019 10:04:06 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,12/10/2019 10:04:06 AM,Service Control Manager,7036,None,The Background Intelligent Transfer Service service entered the running state.
Information,12/10/2019 10:01:34 AM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,12/10/2019 10:01:09 AM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,12/10/2019 9:58:17 AM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,12/10/2019 9:50:08 AM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/10/2019 9:49:07 AM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/10/2019 9:49:04 AM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/10/2019 9:49:04 AM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/10/2019 9:40:10 AM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 9:38:40 AM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:172.24.0.109 has been brought up.
Information,12/10/2019 9:38:37 AM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/10/2019 9:38:35 AM,Microsoft-Windows-Kernel-General,1,None,The system time has changed to ‎2019‎-‎12‎-‎10T09:38:35.541000000Z from ‎2019‎-‎12‎-‎09T17:18:53.319840900Z.
Information,12/9/2019 5:18:52 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the stopped state.
Information,12/9/2019 5:18:52 PM,Service Control Manager,7042,None,"The TCP/IP NetBIOS Helper service was successfully sent a stop control.

 The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]

 Comment: None"
Information,12/9/2019 5:18:49 PM,Microsoft-Windows-Iphlpsvc,4201,None,Isatap interface isatap.zion.js is no longer active.
Information,12/9/2019 4:49:17 PM,Service Control Manager,7036,None,The Diagnostic System Host service entered the stopped state.
Information,12/9/2019 4:44:58 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/9/2019 4:41:11 PM,Service Control Manager,7036,None,The winlogbeat service entered the running state.
Information,12/9/2019 4:41:05 PM,Service Control Manager,7036,None,The winlogbeat service entered the stopped state.
Information,12/9/2019 4:40:42 PM,Service Control Manager,7036,None,The winlogbeat service entered the running state.
Information,12/9/2019 4:40:35 PM,Service Control Manager,7036,None,The winlogbeat service entered the stopped state.
Information,12/9/2019 4:34:55 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/9/2019 4:32:55 PM,Service Control Manager,7036,None,The winlogbeat service entered the running state.
Information,12/9/2019 4:32:48 PM,Service Control Manager,7036,None,The winlogbeat service entered the stopped state.
Information,12/9/2019 4:28:55 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/9/2019 4:24:02 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/9/2019 4:18:57 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/9/2019 4:18:23 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/9/2019 4:12:43 PM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,12/9/2019 4:09:54 PM,Service Control Manager,7036,None,The Windows Update service entered the running state.
Information,12/9/2019 4:09:51 PM,Service Control Manager,7036,None,The winlogbeat service entered the running state.
Information,12/9/2019 4:09:47 PM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the stopped state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Windows Event Collector service entered the running state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the running state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Diagnostic System Host service entered the running state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the running state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information,12/9/2019 4:09:46 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the running state.
Information,12/9/2019 4:09:45 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the stopped state.
Information,12/9/2019 4:09:45 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the running state.
Information,12/9/2019 4:08:33 PM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the running state.
Information,12/9/2019 4:08:31 PM,Service Control Manager,7036,None,The Application Management service entered the running state.
Warning,12/9/2019 4:07:56 PM,USER32,1076,None,"The reason supplied by user VAGRANT-2008R2\vagrant for the last unexpected shutdown of this computer is: Other (Unplanned)
 Reason Code: 0xa000000
 Problem ID: 
 Bugcheck String: 
 Comment: 
"
Information,12/9/2019 4:07:52 PM,Service Control Manager,7036,None,The Network Connections service entered the running state.
Information,12/9/2019 4:07:48 PM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the stopped state.
Information,12/9/2019 4:07:48 PM,Service Control Manager,7036,None,The Remote Desktop Configuration service entered the running state.
Information,12/9/2019 4:07:48 PM,Service Control Manager,7036,None,The Certificate Propagation service entered the running state.
Information,12/9/2019 4:07:46 PM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the running state.
Information,12/9/2019 4:07:46 PM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the running state.
Information,12/9/2019 4:07:46 PM,Service Control Manager,7036,None,The Remote Desktop Services service entered the running state.
Information,12/9/2019 4:07:44 PM,Service Control Manager,7036,None,The Network List Service service entered the running state.
Information,12/9/2019 4:07:44 PM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the running state.
Information,12/9/2019 4:07:44 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/9/2019 4:07:44 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/9/2019 4:07:44 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Error,12/9/2019 4:07:43 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) failed to load: 
cdrom"
Information,12/9/2019 4:07:43 PM,Service Control Manager,7036,None,The wampmysqld service entered the running state.
Information,12/9/2019 4:07:41 PM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:172.24.0.109 has been brought up.
Information,12/9/2019 4:07:38 PM,Service Control Manager,7036,None,The wampapache service entered the running state.
Information,12/9/2019 4:07:37 PM,Service Control Manager,7036,None,The Server service entered the running state.
Information,12/9/2019 4:07:36 PM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the running state.
Information,12/9/2019 4:07:36 PM,Service Control Manager,7036,None,The IP Helper service entered the running state.
Information,12/9/2019 4:07:35 PM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the running state.
Information,12/9/2019 4:07:35 PM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the running state.
Information,12/9/2019 4:07:35 PM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the running state.
Information,12/9/2019 4:07:35 PM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the running state.
Information,12/9/2019 4:07:35 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,12/9/2019 4:07:35 PM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the running state.
Information,12/9/2019 4:07:36 PM,Microsoft-Windows-WinRM,10121,None,"The WinRM service has been configured to accept basic authentication for unsecure HTTP connections. 

 This is not a secure configuration. 

 User Action 
 Set AllowUnencrypted to False in WinRM configuration to ensure packets are encrypted on the wire."
Information,12/9/2019 4:07:36 PM,Microsoft-Windows-WinRM,10148,None,"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener"
Information,12/9/2019 4:07:35 PM,SNMP,1001,None,The SNMP Service has started successfully.
Information,12/9/2019 4:07:33 PM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the running state.
Information,12/9/2019 4:07:32 PM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the running state.
Information,12/9/2019 4:07:32 PM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the running state.
Information,12/9/2019 4:07:31 PM,Service Control Manager,7036,None,The OpenSSH Server service entered the running state.
Information,12/9/2019 4:07:29 PM,Service Control Manager,7036,None,The SNMP Service service entered the running state.
